Phylum	Class	Genus	Species	Subspecies	English name	GB	FRANCE	BELGIUM	NETHERLANDS	RINSE GB	RINSE FRANCE	RINSE BELGIUM	RINSE NETHERLANDS	Environment
Arthropoda	Insecta	Somotrichus	unifasciatus  				Y				?			T
Angiospermae	Eudicotyledoneae	Sorbaria	sorbifolia		Sorbaria	Y	Y	Y	Y	Y	Y	Y	Y	T
Angiospermae	Eudicotyledoneae	Sorbaria	tomentosa		Himalayan Sorbaria	Y	Y	Y	Y	Y	Y	Y		T
Arthropoda	Insecta	Spalangia	albip						Y					T
Annelida	Clitellata	Sparganophilus	tamensis			Y				Y				F
Angiospermae	Monocotyledoneae	Spartina	alterniflora		Smooth Cord-grass	Y	Y		Y	Y	Y			T+M
Angiospermae	Monocotyledoneae	Spartina	anglica		Common Cord-grass	Y	Y	Y	Y	Y	Y	Y	Y	T+M
Angiospermae	Monocotyledoneae	Spartina	pectinata		Prairie Cord-grass	Y				Y				T+M
Angiospermae	Monocotyledoneae	Spartina	townsendii		Townsend's Cord-Grass	Y	Y	Y	Y	Y	Y	Y	Y	T+M
Arthropoda	Insecta	Specularius	impressithorax  						Y				?	T
Chordata	Amphibia	Speleomantes	ambrosii		French cave salamander		Y				N			F+T
Arthropoda	Arachnida	Spermophora	senoculata				Y	Y				Y		T
Arthropoda	Insecta	Sphaericus	gibboides  			Y				Y				T
Arthropoda	Collembola	Sphaeridia	pumilis			Y	Y	Y	Y	Y	N	N		T
Marchantiophyta	Marchantiopsida	Sphaerocarpos	michelii   			Y	Y			Y				T
Marchantiophyta	Marchantiopsida	Sphaerocarpos	texanus   			Y	Y	Y	Y	Y	N	Y	Y	T
Arthropoda	Malacostraca	Sphaeroma	walkeri				Y				N			F
Arthropoda	Insecta	Sphegina	sibirica		 A Hoverfly	Y			Y	N			Y	T
Arthropoda	Insecta	Sphodrus	leucophthalmus			Y		Y		Y		N		T
Arthropoda	Collembola	Sphyrotheca	multifasciata			Y				Y				T
Nematoda	Secernentea	Spiculopteragia 	asymmetrica						Y				?	T
Arthropoda	Insecta	Spilococcus	mamillariae			Y	Y			?	?			T
Arthropoda	Maxillopoda	Spiophanicola	spinosus		parasitic copepod	Y				N				M
Angiospermae	Eudicotyledoneae	Spiraea	alba		Pale Bridewort	Y	Y	Y	Y	Y	?	Y	Y	T
Angiospermae	Eudicotyledoneae	Spiraea	billardii		Billard's Bridewort	Y	Y	Y	Y			Y	Y	T
Angiospermae	Eudicotyledoneae	Spiraea	douglasii		Steeplebush	Y	Y	Y	Y	Y	Y	Y	Y	T
Angiospermae	Eudicotyledoneae	Spiraea	salicifolia		 Spiraea Bridewort group	Y	Y	Y				Y		T
Annelida	Polychaeta	Spirorbis	marioni				Y				N			M
Mollusca	Bivalvia	Spisula	solidissima		Atlantic surf clam	Y	Y		Y	N	N		Y	M
Arthropoda	Insecta	Spodoptera	eridania		 Southern Army Worm	N	N	N	Y	N	N	N	N	T
Arthropoda	Insecta	Spodoptera	litura		 Asian Cotton Leafworm	Y	Y		Y, Er	N	N		N	T
Arthropoda	Insecta	Spoladea	recurvalis		 Hawaiian beet webworm	N	Y	N	Y	N	N	N	N	T
Arthropoda	Insecta	Stagona	pini		 Pine Root Aphid	Y				?				T
Angiospermae	Magnoliopsida	Staphylea	pinnata		Bladdernut	Y	Y	Y	Y		Y			T
Arthropoda	Arachnida	Steatoda	grossa		 Cupboard spider	Y	Y	Y	Y	Y		N	Y	T
Arthropoda	Arachnida	Steatoda	nobilis		 Biting spider	Y	Y			Y				T
Arthropoda	Arachnida	Steatoda	paykulliana					Y				Y		T
Arthropoda	Arachnida	Steatoda	triangulosa		 Triangulate Cobweb spider	Y	Y	Y	Y	N		Y	Y	T
Arthropoda	Insecta	Stegobium	paniceum		 Biscuit Beetle	Y	Y	Y	Y	Y	N	Y	Y	T
Arthropoda	Insecta	Stelidota	geminata  				Y				?			T
Arthropoda	Insecta	Stenchaetothrips	spinalis  				Y				?			T
Arthropoda	Insecta	Stenchaetothrips 	biformis			Y			Y					T
Arthropoda	Insecta	Stenocrotaphus	gigas			Y	Y			?	?			T
Arthropoda	Insecta	Stenodiplosis	sorghicola  				Y				?			T
Arthropoda	Insecta	Stenopelmus	rufinasus		Azolla Weevil	Y	Y	Y	Y	Y	?	?	?	F
Arthropoda	Insecta	Stenoptilia	millieridactyla		 Saxifrage Plume	Y	Y			N				T
Arthropoda	Malacostraca	Stenothoe	gallensis				Y				N			M
Arthropoda	Insecta	Stephanitis	oberti					Y	Y				N	T
Arthropoda	Insecta	Stephanitis	pyrioides				Y		Y					T
Arthropoda	Insecta	Stephanitis	rhododendri		 Rhododendron Lacebug	Y	Y	Y	Y	Y	?	Y	N	T
Arthropoda	Insecta	Stephanitis	takeyai		 Andromeda Lacebug	Y	Y	Y	Y	Y	?	Y	Y	T
Arthropoda	Insecta	Stictocephala 	bisonia		Buffalo treehopper		Y	Y	Y				N	T
Arthropoda	Arachnida	Stigmaeopsis	celarius   			Y	Y	Y	Y					T
Arthropoda	Diplopoda	Stigmatogaster	souletina			Y				Y				T
Arthropoda	Insecta	Stigmella	pyri		 Pear-tree Pigmy	Y	Y	Y	Y	Y			Y	T
Arthropoda	Insecta	Stigmella	speciosa		 Barred Sycamore Pigmy	Y	Y		Y	Y	N		Y	T
Arthropoda	Insecta	Stigmella	suberivora		 Holm-oak Pigmy	Y	Y	N	N	Y	N	N	N	T
Annelida	Polychaeta	Streblospio	benedicti			Y	Y	Y	Y	Y	Y	Y	Y	M
Chordata	Aves	Streptopelia	decaocto		 Collared Dove	Y	Y	Y	Y	Y	Y	Y	Y	T
Chordata	Aves	Streptopelia	risoria		 Barbary Dove	Y		Y	Y	Y		Y	Y	T
Chordata	Aves	Streptopelia	senegalensis		 Laughing Dove	Y	Y			Y				T
Arthropoda	Insecta	Stricticomus	 tobias			Y	Y	Y	Y	Y			Y	T
Arthropoda	Insecta	Strobilomyia	infrequens		 An Anthomyiid Fly	Y		Y	Y	Y		?	?	T
Arthropoda	Insecta	Strobilomyia	laricicola			Y		Y	Y	Y		?	?	T
Arthropoda	Insecta	Strobilomyia	melania		 An Anthomyiid Fly	Y		Y	Y	Y		?	?	T
Basidiomycota	Agaricomycetes	Stropharia	aurantiaca			Y	Y	Y	Y	Y		Y	N	T
Arthropoda	Insecta	Strumigenys	rogeri  			Y				?				T
Chordata	Aves	Struthio	camelus		 Ostrich	Y			Y				Y	T
Arthropoda	Insecta	Sturmia	bella		 A Tachinid Fly	Y	Y	Y	Y	Y	?	?	Y	T
Chordata	Aves	Sturnus	cineraceus		 White-cheeked Starling	Y				Y				T
Chordata	Aves	Sturnus	contra		 Pied Starling	Y				Y				T
Chordata	Aves	Sturnus	pagodarum		 Brahminy Myna	Y								T
Chordata	Aves	Sturnus	roseus		 Rose-Coloured Starling	Y	Y	Y	Y	Y		Y	Y	T
Chordata	Aves	Sturnus	sinensis		 White-shouldered Starling	Y				Y				T
Chordata	Aves	Sturnus	sturninus		 Daurian Starling	Y				N				T
Chordata	Ascidiacea	Styela	clava			Y	Y	Y	Y	Y	Y	Y	Y	M
Platyhelminthes	Turbellaria	Stylochus	flevensis						Y				Y	M
Porifera	Demospongiae 	Suberites	massa			Y	Y	Y	Y	Y	Y	Y	Y	M
Arthropoda	Insecta	Supella	longipalpa 			Y	Y		Y	Y	N		Y	T
Arthropoda	Insecta	Syagrius	intrudens		 Fern Weevil	Y				Y				T
Annelida	Polychaeta	Syllidia	armata			Y	Y		Y	Y	Y		Y	M
Annelida	Polychaeta	Syllis	gracilis			Y	Y	Y	Y	Y	Y	Y	Y	M
Angiospermae	Eudicotyledoneae	Symphoricarpos	albus		Snowberry	Y	Y	Y	Y		Y	Y	Y	T
Arthropoda	Malacostraca	Synarmadillo 	pallidus						Y				Y	T
Arthropoda	Insecta	Synclita	obliteralis		Waterlily leafcutter	Y	N	N	N	N	N	N	N	F+T
Arthropoda	Malacostraca	Synidotea	laevidorsalis				Y	Y			N	Y		F+T
Arthropoda	Malacostraca	Synidotea	laticauda					Y				Y		M
Arthropoda	Insecta	Synophropsis	lauri		 Bay Leafhopper	Y				?				T
Bryophyta	Bryopsida	Syntrichia	amplexa   			Y				Y				F+T
Arthropoda	Malacostraca	Synurella	ambulans					Y				Y		F
Chordata	Aves	Syrmaticus	reevesii		 Reeves's Pheasant	Y	Y	Y	Y	Y	Y	Y	Y	T
Arthropoda	Insecta	Tachycines 	asynamorus			Y	Y		Y					T
Arthropoda	Insecta	Tachystola	acroxantha		 Ruddy Streak	Y	N	N	N	Y	N	N	N	T
Chordata	Aves	Tadorna	cana		Cape Shelduck	Y		Y	Y	Y		Y	Y	F+T
Chordata	Aves	Tadorna	ferruginea		Ruddy Shelduck	Y	Y	Y	Y	Y	Y	Y	Y	F+T
Chordata	Aves	Tadorna	radjah		Radjah Shelduck	Y			Y	N			Y	F+T+M
Chordata	Aves	Tadorna	tadornoides		Australian Shelduck	Y		Y	Y	Y		Y	Y	F+T
Chordata	Aves	Tadorna	variegata		Paradise Shelduck	Y		Y	Y	Y		N	Y	F+T+M
Arthropoda	Insecta	Taeniothrips	eucharii						Y					T
Arthropoda	Insecta	Takecallis	arundicolens			Y	Y			Y	?			T
Arthropoda	Insecta	Takecallis	arundinariae			Y				Y				T
Arthropoda	Insecta	Takecallis	taiwana			Y	Y			?	?			T
Chordata	Mammalia	Tamias	sibiricus		Siberian Chipmunk	Y, Ex	Y	Y	Y	Y, Ex	Y	Y	Y	T
Arthropoda	Malacostraca	Tanais 	dulongii			Y	Y	Y	Y	Y	Y	Y	Y	M
Mollusca	Gastropoda	Tandonia	budapestensis		 Budapest Slug	Y	nat	Y, nat	Y, nat	Y	nat	Y, nat	Y, nat	T
Mollusca	Gastropoda	Tandonia	rustica			Y	Y	N	Y	Y	N	N	N	T
Mollusca	Gastropoda	Tandonia	sowerbyi		 Keeled Slug	Y		Y	Y	Y		Y	Y	T
Arthropoda	Insecta	Taomyia	marshalli		 A Fruit Fly [ 	Y	N	N	N	Y				T
Mollusca	Bivalvia	Tapes	philippinarum		Manila clam	Y	Y	Y	Y	Y	Y	Y	Y	M
Arthropoda	Insecta	Tapinella	castanea  			Y				?				T
Arthropoda	Insecta	Tapinoma	melanocephalum			Y	Y	Y	Y					T
Chordata	Aves	Tarsiger	cyanurus		 Red-Flanked Bluetail	Y	Y	Y	Y	Y		Y	Y	T
Annelida	Clitellata	Tasserkidrilus	americanus					Y				Y		F
Arthropoda	Insecta	Taylorilygus	apicalis				Y				?			T
Arthropoda	Insecta	Technomyrmex	albipes						Y					T
Arthropoda	Insecta	Technomyrmex	vitiensis					Y				Y		T
Arthropoda	Arachnida	Tegenaria	agrestis			Y	Y	Y	Y	Y		Y	Y	T
Arthropoda	Arachnida	Tegenaria	atrica		 Giant House spider	Y	Y	Y	Y	Y		Y	Y	T
Arthropoda	Arachnida	Tegenaria	domestica		 Common House Spider	Y	Y	Y	Y	Y		Y	Y	T
Arthropoda	Arachnida	Tegenaria	ferruginea			Y		Y	Y	N		Y	Y	T
Arthropoda	Arachnida	Tegenaria	gigantea			Y				Y				T
Arthropoda	Arachnida	Tegenaria	saeva		 House Spider	Y	Y	Y		Y				T
Arthropoda	Insecta	Telmatogeton	japonicus			Y	Y	Y	Y		Y	Y		T
Arthropoda	Insecta	Telopes	heydeni  				Y				?			T
Arthropoda	Insecta	Tenaga	nigripunctella		 Black-spot Clothes Moth	Y	Y	N	Y	Y	N	N	N	T
Arthropoda	Insecta	Tenebrio	obscurus		 Dark Mealworm Beetle	Y	Y	Y	Y	Y	N	?	?	T
Arthropoda	Insecta	Tenebroides	mauritanicus			Y			Y	Y				T
Arthropoda	Insecta	Tenthecoris	bicolor			Y				?				T
Arthropoda	Insecta	Tenthecoris	orchidearum			Y				?				T
Arthropoda	Arachnida	Tenuipalpus	caudatus   				Y							T
Arthropoda	Arachnida	Tenuipalpus	pacificus   			Y			Y					T
Arthropoda	Insecta	Tephritis	divisa		 A Fruit Fly [ 	Y	N	N	N	Y				T
Arthropoda	Insecta	Tephritis	matricariae		 A Fruit Fly [ 	Y			Y	Y			?	T
Arthropoda	Insecta	Tephritis	praecox		 A Fruit Fly [ 	Y			Y	?			Y	T
Chordata	Aves	Terathopius	ecaudatus		 Bateleur	Y				Y				T
Mollusca	Bivalvia	Teredo	navalis		Common shipworm	Y	Y	Y	Y	Y	Y	Y	Y	M
Arthropoda	Insecta	Terellia	fuscicornis		 A Fruit Fly [ 	Y			N	?				T
Arthropoda	Insecta	Teropalpus	unicolor			Y				Y				T
Arthropoda	Insecta	Tesarius	caelatus  			Y				N				T
Mollusca	Gastropoda	Testacella	haliotidea		 Common Shelled Slug	Y	Y	Y	Y	Y	N	?	Y	T
Mollusca	Gastropoda	Testacella	maugei		 Mauge's Shelled Slug	Y	Y			Y	N			T
Mollusca	Gastropoda	Testacella	scutulum		 Golden Shelled Slug	Y				Y				T
Chordata	Reptilia	Testudo	graeca				Y	Y			N	Y		T
Chordata	Reptilia	Testudo	hermanni				Y	Y			N	N		T
Arthropoda	Insecta	Tetracnemoidea	brevicornis  				Y				?			T
Arthropoda	Insecta	Tetramesa	albomaculatum  			Y				?				T
Arthropoda	Insecta	Tetramorium	caldarium			Y								T
Arthropoda	Insecta	Tetramorium	insolens				Y		Y					T
Arthropoda	Insecta	Tetramorium	simillimum			Y	Y							T
Arthropoda	Insecta	Tetramorium 	bicarinatum						Y					T
Arthropoda	Insecta	Tetranecmoidea	peregrina  				Y				?			T
Arthropoda	Arachnida	Tetranychus	evansi   				Y							T
Arthropoda	Arachnida	Tetranychus	mcdanieli   				Y							T
Chordata	Actinopterygii	Tetraodon	fluviatilis		green pufferfish	N		Y		N		Y		M+F
Arthropoda	Insecta	Tetropium	castaneum		 Bark spruce longhorn beetle	Y	Y	Y	Y	Y	Y	Y	Y	T
Heterokontophyta	Bacillariophyceae	Thalassiosira	punctigera			Y	Y	Y	Y		Y	Y		M
Arthropoda	Insecta	Thaumaglossa	rufocapillata  						Y				?	T
Arthropoda	Insecta	Thaumatotibia	leucotreta		 False Codling Moth	Y	N	N	Y	N	N	N	N	T
Arthropoda	Insecta	Thaumetopoea	processionea		 Oak Processionary Moth	Y	Y	Y	Y	Y	N	Y	Y	T
Mollusca	Gastropoda	Theba	pisana		 White Snail [ 	Y	Y	Y	Y	Y	Y	Y	Y	T
Cnidaria	Hydrozoa	Thecocodium	brieni				Y		Y		N		Y	M
Arthropoda	Insecta	Thecturota	marchii			Y		Y		Y		Y		T
Arthropoda	Insecta	Thera	britannica		 Spruce Carpet	Y	Y	Y	Y	Y	N	N	N	T
Chordata	Aves	Theristicus	caudatus		 Buff-necked Ibis	Y								T
Arthropoda	Insecta	Thes	bergrothi  			Y				Y				T
Arthropoda	Insecta	Thoracochaeta	johnsoni			Y			N	?				T+M
Arthropoda	Insecta	Thoracochaeta	seticosta			Y				?				T+M
Arthropoda	Insecta	Thorictodes	heydeni			Y				?				T
Chordata	Aves	Threskiornis	aethiopicus		Sacred Ibis	Y	Y	Y	Y	Y	N	Y	Y	F+T
Chordata	Aves	Threskiornis	spinicollis		 Straw-necked Ibis	Y		Y				Y		T
Arthropoda	Insecta	Thripobius	javae				Y		Y		?		?	T
Arthropoda	Insecta	Thrips	australis  				Y				?			T
Arthropoda	Insecta	Thrips	hawaiiensis  				Y				?			T
Arthropoda	Insecta	Thrips	simplex			Y	Y		Y					T
Arthropoda	Insecta	Thrips 	palmi						Y					T
Pinophyta	Pinopsida	Thuja	plicata   			Y	Y	Y	Y	Y	Y	Y	Y	T
Arthropoda	Insecta	Thylodrias	contractus		 Odd Beetle	Y	Y							T
Chordata	Actinopterygii	Thymallus	thymallus		Grayling	Y, nat	Y, nat	Y, nat	Y, nat	Y, nat	Y, nat	Y, nat	Y, nat	F
Arthropoda	Insecta	Tinea	dubiella		 Buff Clothes Moth	Y	Y	N	Y	Y		N	Y	T
Arthropoda	Insecta	Tinea	flavescentella		 Plain Clothes Moth	Y	Y	N	N	N		N	N	T
Arthropoda	Insecta	Tinea	murariella		 Casemaking Clothes Moth	Y	Y	N	N	N	N	N	N	T
Arthropoda	Insecta	Tinea	pallescentella		 Large Pale Clothes Moth	Y	Y	Y	Y	Y				T
Arthropoda	Insecta	Tinea	pellionella		 Case-bearing Clothes Moth	Y	Y	N	Y	Y	N	N	Y	T
Arthropoda	Insecta	Tinea	translucens		 Beaked Clothes Moth	Y	Y	N	N	N		N	N	T
Arthropoda	Insecta	Tineola	bisselliella		 Common Clothes Moth	Y	Y	Y	Y	Y	N	N	N	T
Arthropoda	Insecta	Tinocallis	kahawaluokalani  				Y				?			T
Arthropoda	Insecta	Tinocallis	nevskyi		 Gold Elm Aphid	Y		Y	Y	?				T
Arthropoda	Insecta	Tinocallis	takachihoensis  				Y				?			T
Arthropoda	Insecta	Tinocallis	ulmiparvifoliae			Y				?				T
Arthropoda	Insecta	Tinocallis	zelkowae			Y	Y			?	?			T
Arthropoda	Insecta	Tinocallis 	saltans				Y		Y		?			T
Mollusca	Bivalvia	Tiostrea	chilensis		Chilean oyster		Y				N			M
Mollusca	Bivalvia	Tiostrea	lutaria		New Zealand flat oyster	Y				N				M
Arthropoda	Insecta	Topana	cincticornis  				Y				?			T
Bryophyta	Bryopsida	Tortula	freibergii   			Y								T
Arthropoda	Insecta	Torymus	sinensis  				Y				N			T
Arthropoda	Insecta	Toxoptera	aurantii			Y	Y			Y	?			T
Arthropoda	Maxillopoda	Tracheliastes	maculatus			Y			Y	N			Y	F
Arthropoda	Maxillopoda	Tracheliastes	polycolpus			Y				N				F
Chordata	Reptilia	Trachemys	scripta		 Red-eared Terrapin	Y	Y	Y	Y	Y	Y	Y	Y	F+T
Arthropoda	Insecta	Trechicus	nigriceps			Y	Y	Y	Y	?	?	?	?	T
Arthropoda	Insecta	Trechus	subnotatus			Y				Y				T
Arthropoda	Insecta	Tremex	columba  			Y				?				T
Arthropoda	Arachnida	Triaeris	stenaspis				Y	Y				Y		T
Arthropoda	Insecta	Trialeurodes	vaporariorum			Y	Y		Y	Y	?		Y	T
Arthropoda	Insecta	Tribolium	castaneum		 Rust-red Flour Beetle	Y	Y	Y	Y	Y	?	Y	Y	T
Arthropoda	Insecta	Tribolium	confusum		 Confused Flour Beetle	Y	Y	Y	Y	Y	?	Y	Y	T
Arthropoda	Insecta	Tribolium	destructor		 Dark Flour Beetle	Y	Y	Y	Y	?	?	?	?	T
Bryozoa	Gymnolaemata	Tricellaria	inopinata			Y	Y	Y	Y	Y	Y	Y	Y	M
Arthropoda	Insecta	Trichiusa 	immigrata			Y	Y	Y	Y	Y				T
Arthropoda	Insecta	Trichodectes 	canis						Y					T
Arthropoda	Insecta	Trichogramma	achaeae  				Y				?			T
Arthropoda	Insecta	Trichogramma	brassicae				Y		Y		?		?	T
Arthropoda	Insecta	Trichogramma	dendrolimi  				Y				?			T
Arthropoda	Insecta	Trichogramma	perkinsi  				Y				?			T
Arthropoda	Insecta	Trichophaga	tapetzella		 Tapestry Moth	Y	Y	Y	Y	Y	N	N	Y	T
Arthropoda	Insecta	Trichopoda	pennipes  				Y				?			T
Arthropoda	Insecta	Trichopsocus	clarus			Y			Y	Y			?	T
Arthropoda	Insecta	Trichopsocus	dalii			Y		Y		?		?		T
Arthropoda	Malacostraca	Trichorhina	tomentosa			Y	Y	Y	Y	N	Y		Y	F
Arthropoda	Insecta	Trichosiphonaphis	polygonifoliae			Y	Y			?				T
Arthropoda	Insecta	Tricorynus	tabaci  				Y				?			T
Arthropoda	Insecta	Trigonogenius	globulus		 Globular Spider Beetle	Y				N				T
Arthropoda	Insecta	Trimenopon	hispidum 				Y		Y					T
Chordata	Actinopterygii	Trinectes	maculatus		Hogchoker	N		N	Y	N		N	N	M
Arthropoda	Insecta	Trinophylum	cribratum			Y				Y				T
Arthropoda	Insecta	Trionymus	angustifrons				Y				?			T
Arthropoda	Insecta	Trionymus	diminutus			Y				?				T
Arthropoda	Insecta	Trioza	alacris		 Bay Sucker	Y	Y	Y	Y	N	N	Y	Y	T
Arthropoda	Insecta	Trioza	vitreoradiata		 Pittosporum Psyllid	Y	Y			Y	?			T
Arthropoda	Arachnida	Trisetacus	chamaecypari   			Y								T
Chordata	Amphibia	Triturus	carnifex		Italian Crested Newt	Y	Y	Y	Y	Y	Y	Y	Y	F+T
Chordata	Amphibia	Triturus	marmoratus				Y	Y			Y			F+T
Arthropoda	Insecta	Trochiscococcus	speciosus			Y	Y				?			T
Mollusca	Gastropoda	Trochoidea	elegans		 Top Snail	Y	nat	Y, nat		Y	nat	Y, nat		T
Arthropoda	Insecta	Trogium	pulsatorium						Y					T
Arthropoda	Insecta	Trogoderma	glabrum		 Coloured Cabinet Beetle		Y	Y			N	Y		T
Arthropoda	Insecta	Trogoderma	granarium		 Khapra Beetle	Y				Y				T
Arthropoda	Insecta	Trogoderma	inclusum		 Large Cabinet Beetle	Y								T
Arthropoda	Insecta	Trogoderma	insulare  				Y				?			T
Arthropoda	Insecta	Trogoderma	megatomoides				Y		Y		?		?	T
Arthropoda	Insecta	Trogoderma	variabile		 Warehouse beetle [ 	Y								T
Arthropoda	Insecta	Trogoderma 	angustum					Y	Y			Y	Y	T
Arthropoda	Insecta	Tropideres	dorsalis  				Y				?			T
Arthropoda	Insecta	Tropidosteptes	pacificus						Y					T
Pinophyta	Pinopsida	Tsuga	heterophylla   			Y	Y	Y	Y	Y	N	Y	Y	T
Arthropoda	Insecta	Tuberocephalus	higansakurae  	hainnevilleae			Y				?			T
Annelida	Clitellata	Tubificoides	heterochaetus			Y		Y	Y	Y		Y	Y	M+F
Annelida	Clitellata	Tubificoides 	pseudogaster			Y			Y	Y			Y	M
Arthropoda	Insecta	Tupiocoris	rhododendri			Y		Y	Y	Y			N	T
Arthropoda	Insecta	Tuponia	brevirostris			Y				?				T
Arthropoda	Insecta	Tuponia	hippophaes				Y	Y			N			T
Arthropoda	Insecta	Tuponia	mixticolor			Y				Y				T
Chordata	Aves	Turdus	kessleri		 Kessler's Thrush	Y				N				T
Chordata	Aves	Turdus	migratorius		 American Robin	Y				Y				T
Arthropoda	Insecta	Tuta	absoluta			Y	Y		Y	?	?		N	T
Nematoda	Secernentea	Tylenchorhynchus	claytoni		 Stunt Nematode	Y			Y	Y			?	T
Platyhelminthes	Trematoda	Tylodelphys	clavata						Y					M
Arthropoda	Arachnida	Uloborus	plumipes		 Garden Centre spider	Y		Y	Y	Y			Y	T
Chlorophyta	Ulvophyceae	Ulva	fasciata				Y				N			M
Chordata	Actinopterygii	Umbra 	pygmaea		Eastern mudminnow	N	Y	Y	Y	N	?	Y	Y	F
Arthropoda	Insecta	Unaspis	euonymi			Y	Y		Y	?	?		?	T
Arthropoda	Insecta	Unaspis	yanonensis				Y				?			T
Arthropoda	Diplopoda	Unciger	foetidus			Y				Y				T
Chordata	Aves	Uragus	sibiricus		 Long-tailed Rosefinch	Y		Y	Y	Y		Y	Y	T
Arthropoda	Insecta	Urocerus	californicus  			Y				?				T
Arthropoda	Insecta	Urocerus	gigas  			Y				?				T
Arthropoda	Insecta	Urocerus 	albicornis			Y			Y					T
Chordata	Aves	Urocissa	erythrorhyncha		 Red-billed Blue Magpie	Y			Y				Y	T
Platyhelminthes	Trematoda	Urocleidus	principalis			Y				Y				M
Arthropoda	Insecta	Uroleucon	erigeronense			Y	Y	Y	Y	?				T
Arthropoda	Insecta	Urophorus	humeralis  				Y				?			T
Mollusca	Gastropoda	Urosalpinx	cinerea		American tingle, American oyster drill	Y	Y	Y	Y	Y	N	Y	Y	M+F
Arthropoda	Arachnida	Urozelotes	rusticus			Y				Y				T
Arthropoda	Insecta	Utamphorophora	humboldti			Y	Y			?				T
Angiospermae	Eudicotyledoneae	Vallisneria	spiralis		Tapegrass	Y	Y	Y	Y			N		F
Arthropoda	Arachnida	Varroa	destructor		Varroa Mite	Y	Y	Y	Y	Y		Y	Y	T
Arthropoda	Arachnida	Varroa	jacobsoni		mite, parasitises bees			Y				Y		T
Arthropoda	Malacostraca	Venezillo	parvus			Y			Y				Y	F
Annelida	Polychaeta	Vermiliopsis	striaticeps				Y			N	N			M
Bryozoa	Gymnolaemata	Victorella	pavida		Trembling Sea-mat	Y	Y	Y	Y	Y	Y	Y	Y	M+F
Chordata	Aves	Vidua	macroura		 Pin-tailed Whydah	Y		Y	Y	Y		Y	Y	T
Chordata	Actinopterygii	Vimba	vimba		Vimba bream	N	Y	Y, N	Y	N	Y	Y, N	Y	F
Arthropoda	Insecta	Viridicerus	ustulatus			Y			Y	Y			Y	T
Arthropoda	Insecta	Viteus	vitifoliae				Y				?			T
Arthropoda	Insecta	Vryburgia	amaryllidis			Y	Y		Y	?	?		?	T
Arthropoda	Insecta	Vryburgia	brevicruris			Y	Y			?	Y			T
Arthropoda	Insecta	Vryburgia	rimariae				Y				?			T
Arthropoda	Insecta	Wagneripteryx	germari			Y			Y	Y			N	T
Arthropoda	Insecta	Wahlgreniella	arbuti			Y	Y		Y	?				T
Arthropoda	Insecta	Wahlgreniella	nervata			Y	Y	Y		?				T
Bryozoa	Gymnolaemata	Walkeria	uva			Y	Y		Y	Y	Y		N	M
Arthropoda	Insecta	Wesmaelius	ravus  			Y				?				T
Rhodophyta	not assigned	Womersleyella	setacea				Y							M
Angiospermae	Eudicotyledoneae	Xanthium	strumarium		Cocklebur	Y	Y	Y	Y			Y	Y	T
Chordata	Aves	Xanthocephalus	xanthocephalus		 Yellow-headed Blackbird	Y				Y				T
Arthropoda	Insecta	Xanthogaleruca	luteola			Y								T
Arthropoda	Insecta	Xanthorhoe	biriviata		 Balsam Carpet	Y	Y	Y	Y	Y	Y	Y	Y	T
Arthropoda	Insecta	Xenopsylla	brasiliensis  			Y				?				T
Arthropoda	Insecta	Xenopsylla	cheopis	cheopis  		Y	Y			?	?			T
Mollusca	Bivalvia	Xenostrobus	securis		Black pigmy mussel		Y				N			M
Arthropoda	Insecta	Xeris	spectrum  			Y				?				T
Mollusca	Gastropoda	Xerosecta	cespitum				nat	Y			N	Y		T
Nematoda	Adenophorea	Xiphinema	coxi		Dagger Nematode	Y				Y				F
Nematoda	Adenophorea	Xiphinema	italiae				Y				N			T
Nematoda	Adenophorea	Xiphinema	pachtaicum		Dagger Nematode	Y				Y				F
Nematoda	Adenophorea	Xiphinema	rivesi				Y				N			T
Nematoda	Adenophorea	Xiphinema	rivesi				Y							T
Nematoda	Adenophorea	Xiphinema	vuittenezi		Dagger Nematode	Y	Y		Y		?		?	F
Nematoda	Adenophorea	Xiphinema 	diversicaudatum 			Y	Y	Y	Y	?	?	?	?	T
Arthropoda	Insecta	Xylaplothrips	subterraneus						Y					T
Arthropoda	Insecta	Xyleborinus	attenuatus						Y				?	T
Arthropoda	Insecta	Xyleborus	pfeilii				Y				?			T
Arthropoda	Insecta	Xyleborus 	alni						Y					T
Arthropoda	Insecta	Xyleborus 	bodoanus						Y					T
Arthropoda	Insecta	Xyleborus 	germanus				Y	Y	Y				Y	T
Arthropoda	Insecta	Xylocoris	afer			Y				?				T
Arthropoda	Insecta	Xylocoris	flavipes			Y	Y		Y	Y	Y		Y	T
Arthropoda	Insecta	Xylographus	bostrychoides  				Y				?			T
Arthropoda	Insecta	Xylosandrus	germanus				Y	Y	Y		N			T
Arthropoda	Insecta	Xylosandrus	morigerus		 Brown coffee twig beetle	Y	Y							T
Arthropoda	Insecta	Xylota	caeruleiventris		 A Hoverfly	Y			N	?				T
Arthropoda	Insecta	Xylotrechus	stebbingi  				Y				?			T
Arthropoda	Insecta	Yponomeuta	malinellus		 Apple Ermine	Y	Y	Y	Y	Y	N	Y	Y	T
Arthropoda	Insecta	Yuccaborus	frontalis  						Y				?	T
Arthropoda	Insecta	Zabrotes	subfasciatus				Y		Y		?		?	T
